Date| Title| Encabezado | SecLabel 
04/05/2017|la corte le dio el 2x1 un condenado por lesa humanidad|la corte le dio el 2x1 un condenado por lesa humanidad|politica
04/05/2017|la uia duda del plan empalme sin reactivacion|la uia duda del plan empalme sin reactivacion|politica
04/05/2017|imputan un futbolista para investigarlo por presunto abuso sexual|imputan un futbolista para investigarlo por presunto abuso sexual|sucesos
04/05/2017|estados unidos sube la presion sobre caracas|estados unidos sube la presion sobre caracas|mundo
04/05/2017|en latinoamerica crecen las voces criticas y la cumbre de la celac dejo entrever las diferenci|en latinoamerica crecen las voces criticas y la cumbre de la celac dejo entrever las diferenci|mundo
04/05/2017|un sueldo promedio 226 mas costoso que en el sector privado|un sueldo promedio 226 mas costoso que en el sector privado|negocios
04/05/2017|por que la masculinidad se transforma en violencia|por que la masculinidad se transforma en violencia|ciudadanos
04/05/2017|el demonio que manda la factura|el demonio que manda la factura|negocios
04/05/2017|la ultima decada con muchos anos en rojo y deuda en dolares en epec|la ultima decada con muchos anos en rojo y deuda en dolares en epec|negocios
04/05/2017|una batalla tan silenciosa como efectiva|una batalla tan silenciosa como efectiva|politica
04/05/2017|hugo salas soy inocente yo no mate carina y no se si fue un crimen|hugo salas soy inocente yo no mate carina y no se si fue un crimen|sucesos
04/05/2017|golpean y maniatan en su despacho fiscal que ya fue amenazado|golpean y maniatan en su despacho fiscal que ya fue amenazado|politica
04/05/2017|costos expuestos en las boletas de energia|costos expuestos en las boletas de energia|negocios
04/05/2017|hace 100 anos de la guerra grande juicios y episodios|hace 100 anos de la guerra grande juicios y episodios|ciudadanos
04/05/2017|un juego ruso que estremece al mundo|un juego ruso que estremece al mundo|ciudadanos
04/05/2017|un viraje atado la campana|un viraje atado la campana|politica
05/05/2017|explosion en alta cordoba la larga espera por la reconstruccion|explosion en alta cordoba la larga espera por la reconstruccion|ciudadanos
05/05/2017|gasoductos la provincia tomara us 400 millones durante 2017|gasoductos la provincia tomara us 400 millones durante 2017|politica
05/05/2017|presos de la droga|presos de la droga|sucesos
05/05/2017|sancor atilra dice que hoy se arribara un acuerdo|sancor atilra dice que hoy se arribara un acuerdo|politica
05/05/2017|siria transformada en un infierno tras cinco anos de enfrentamientos|siria transformada en un infierno tras cinco anos de enfrentamientos|opinion
05/05/2017|el municipio admite mas de 10 mil desbordes cloacales por ano|el municipio admite mas de 10 mil desbordes cloacales por ano|ciudadanos
05/05/2017|frei pondero las oportunidades de la region asia pacifico|frei pondero las oportunidades de la region asia pacifico|mundo
05/05/2017|en rio cuarto biofarma se agrando para nutrir sus ventas y exportaciones|en rio cuarto biofarma se agrando para nutrir sus ventas y exportaciones|negocios
05/05/2017|en cordoba macri sostiene los niveles de adhesion|en cordoba macri sostiene los niveles de adhesion|politica
05/05/2017|privados de la libertad condenados ser adictos|privados de la libertad condenados ser adictos|sucesos
05/05/2017|el estamos mal pero vamos bien de macri|el estamos mal pero vamos bien de macri|politica
05/05/2017|schiaretti en linea con lorenzetti y maqueda|schiaretti en linea con lorenzetti y maqueda|politica
05/05/2017|el 1a fue un quiebre favor del gobierno|el 1a fue un quiebre favor del gobierno|politica
05/05/2017|diaz gavier el fallo de la corte fija un criterio casi obligatorio|diaz gavier el fallo de la corte fija un criterio casi obligatorio|politica
05/05/2017|cuando no existe ni el diario de yrigoyen|cuando no existe ni el diario de yrigoyen|politica
05/05/2017|entre tanta angustia aparecio un bromista con datos falsos|entre tanta angustia aparecio un bromista con datos falsos|sucesos
05/05/2017|los discursos confunden|los discursos confunden|politica
05/05/2017|la factura sigue cuenta del destrato anterior|la factura sigue cuenta del destrato anterior|politica
05/05/2017|sancor el paro complico aun mas la situacion lechera|sancor el paro complico aun mas la situacion lechera|politica
05/05/2017|para endeavor este es el ano para ser emprendedor|para endeavor este es el ano para ser emprendedor|negocios
05/05/2017|otro reves judicial para el complejo ambiental que proyecta cormecor|otro reves judicial para el complejo ambiental que proyecta cormecor|ciudadanos
05/05/2017|marcos juarez llora la muerte de dos jovenes|marcos juarez llora la muerte de dos jovenes|sucesos
05/05/2017|la factura de alquiler que no le dan andres|la factura de alquiler que no le dan andres|ciudadanos
05/05/2017|en una discusion golpeo y sofoco su padre hasta matarlo|en una discusion golpeo y sofoco su padre hasta matarlo|sucesos
05/05/2017|un paliativo la crisis social y laboral|un paliativo la crisis social y laboral|opinion
05/05/2017|fijan un padre un regimen de visitas sus hijos internet|fijan un padre un regimen de visitas sus hijos internet|ciudadanos
05/05/2017|una ley con la que cordoba es pionera en el pais|una ley con la que cordoba es pionera en el pais|ciudadanos
05/05/2017|se celebraria frente al panal la beatificacion de catalina rodriguez|se celebraria frente al panal la beatificacion de catalina rodriguez|ciudadanos
05/05/2017|hace 100 anos escuela sin utiles en nono|hace 100 anos escuela sin utiles en nono|ciudadanos
05/05/2017|la maraton del papel se sigue superando ano tras ano|la maraton del papel se sigue superando ano tras ano|ciudadanos
05/05/2017|otra muerte juvenil aumenta reclamos internos para que cese la represion|otra muerte juvenil aumenta reclamos internos para que cese la represion|mundo
05/05/2017|la neumonia es causa de muerte pero pocos adultos se vacunan|la neumonia es causa de muerte pero pocos adultos se vacunan|ciudadanos
05/05/2017|macron y le pen la polarizacion francesa que tiene en vilo europa|macron y le pen la polarizacion francesa que tiene en vilo europa|mundo
